user_id,nim,jurusan,angkatan,line_id,whatsapp,created_at,updated_at
user-42,20047896,Teknik Informatika,2024,line_ir._akarsana_mandasari,+628076996526,2026-02-22T15:17:26.825391,2026-02-13T21:32:01.182647
user-43,20003615,Sistem Informasi,2020,line_drg._taufan_mangunsong,+628583911310,2025-04-16T17:07:58.760257,2026-07-04T16:16:50.769861
user-44,20013113,Teknik Komputer,2021,"line_cut_clara_mulyani,_s.e.",+628222720812,2025-03-16T22:32:31.103784,2025-09-03T06:53:17.731222
user-45,20027910,Manajemen,2022,line_jeremiah_atkins,+628810950328,2025-11-30T22:20:29.276122,2026-06-06T15:11:10.216869
user-46,20037111,Teknik Informatika,2023,line_jennifer_hughes,+628967997417,2025-08-03T08:19:27.061753,2025-08-12T20:48:18.673222
user-47,20044140,Teknik Elektro,2024,line_rebecca_moore,+628007037649,2025-09-17T05:58:25.680586,2026-02-20T16:07:45.649340
user-48,20002391,Teknik Industri,2020,line_kajen_santoso,+628314307951,2025-07-08T09:12:21.601121,2025-11-07T21:34:10.809177
user-49,20017477,Teknik Komputer,2021,line_zizi_purnawati,+628968751896,2024-09-14T18:36:57.443198,2026-01-05T08:18:05.143060
user-50,20027625,Teknik Komputer,2022,line_sadina_mustofa,+628341794494,2025-11-09T08:53:17.008941,2025-12-22T11:58:39.268626
user-51,20036856,Teknik Elektro,2023,line_rebecca_david,+628499094050,2025-01-31T00:28:41.267387,2025-08-21T03:37:25.614145
user-52,20042463,Manajemen,2024,line_brianna_hunt,+628991239428,2024-10-17T13:54:37.253760,2026-01-05T08:39:42.929936
user-53,20005999,Teknik Informatika,2020,line_lutfan_saefullah,+628044515236,2025-07-03T16:06:25.950492,2026-07-25T08:40:47.233898
user-54,20014303,Manajemen,2021,line_cawuk_ramadan,+628587343568,2025-12-22T20:54:35.539174,2026-02-17T23:07:18.564166
user-55,20025264,Teknik Informatika,2022,line_bagas_rahayu,+628571712594,2025-06-03T08:18:57.828489,2025-08-24T14:36:29.488619
user-56,20038773,Akuntansi,2023,line_paiman_hardiansyah,+628661040749,2025-05-20T22:52:50.889886,2025-09-15T23:33:52.738863
user-57,20044740,Teknik Komputer,2024,"line_dt._banawi_mulyani,_s.sos",+628208144591,2025-01-17T03:42:09.972269,2026-07-25T10:22:17.192815
user-58,20002931,Teknik Informatika,2020,line_jessica_beard,+628182762497,2026-05-04T21:47:18.868551,2025-11-10T08:44:14.464985
user-59,20011925,Teknik Elektro,2021,line_tommy_ramos,+628152388141,2025-03-09T05:25:34.987544,2025-11-28T02:08:02.921362
user-60,20029230,Teknik Industri,2022,line_angela_schmitt,+628188760914,2025-06-02T21:40:03.304866,2025-09-14T12:40:03.247795
user-61,20033232,Teknik Elektro,2023,line_david_navarro,+628086952053,2026-05-26T13:16:21.839854,2025-10-11T21:09:48.134798
user-62,20047648,Sistem Informasi,2024,line_katherine_brown,+628014100189,2025-07-17T01:58:39.839621,2026-03-12T08:46:34.262121
user-63,20005833,Teknik Informatika,2020,line_keith_fuller,+628258856978,2025-05-13T07:05:52.267034,2025-11-28T03:25:21.144936
user-64,20018955,Akuntansi,2021,line_tiffany_torres,+628196154492,2026-01-28T09:01:49.395937,2025-09-09T08:47:49.748576
user-65,20027420,Teknik Industri,2022,line_dr._candra_pudjiastuti,+628134569137,2024-12-24T05:10:18.440046,2026-04-04T07:33:16.298158
user-66,20037708,Akuntansi,2023,"line_daru_usamah,_s.h.",+628375623063,2026-01-03T08:40:47.990023,2025-12-31T21:09:14.317733
user-67,20049549,Teknik Informatika,2024,line_ridwan_winarno,+628494840494,2026-03-21T17:19:54.303029,2025-09-21T11:17:00.716944
user-68,20008842,Sistem Informasi,2020,line_john_snyder,+628899834268,2026-04-16T12:12:31.130221,2026-06-05T09:13:26.390805
user-69,20018714,Manajemen,2021,line_cheryl_garcia,+628212935253,2024-10-14T01:42:33.846535,2025-10-22T13:10:22.165689
user-70,20027194,Teknik Informatika,2022,line_aurora_mansur,+628879699308,2025-09-23T01:49:39.843133,2025-09-11T17:36:08.330996
user-71,20032889,Akuntansi,2023,line_jennifer_bryant,+628626457541,2025-03-03T12:19:23.531320,2026-06-08T17:58:05.928755
user-72,20042465,Sistem Informasi,2024,line_brandon_wolf,+628896056036,2025-05-21T01:53:02.967547,2025-08-24T10:34:25.650601
user-73,20009840,Teknik Elektro,2020,"line_dr._puji_nashiruddin,_s.e.i",+628541849585,2025-08-10T04:05:09.864471,2026-05-25T01:38:47.171827
user-74,20012670,Teknik Elektro,2021,line_jose_lewis,+628250559100,2026-04-16T14:51:05.907807,2026-03-27T01:30:05.251896
user-75,20027856,Sistem Informasi,2022,line_hasan_susanti,+628462994079,2024-08-31T05:51:02.521015,2025-10-23T10:53:32.545295
user-76,20032033,Sistem Informasi,2023,line_ihsan_simbolon,+628912856100,2025-09-01T04:05:32.929715,2026-07-03T01:10:30.926659
user-77,20043625,Akuntansi,2024,line_holly_fox,+628490892772,2025-10-15T17:12:44.222034,2026-06-28T14:02:01.113285
user-78,20007941,Teknik Elektro,2020,line_kevin_wilson,+628604526828,2024-09-26T01:03:08.896830,2025-10-17T08:33:52.040770
user-79,20019525,Teknik Industri,2021,line_dr._christina_johnson,+628513015909,2025-11-05T13:46:22.869238,2026-05-12T02:39:24.672370
user-80,20026512,Sistem Informasi,2022,line_alexandra_owens,+628188561486,2026-07-12T15:53:09.244890,2025-11-01T21:11:44.307860
user-81,20035119,Teknik Industri,2023,line_raymond_garza,+628564840731,2025-01-06T17:47:39.323108,2026-05-19T07:16:31.683976
user-82,20044583,Teknik Komputer,2024,line_nicholas_curtis,+628628222900,2026-06-11T18:06:45.248443,2026-03-29T11:15:01.876704
user-83,20002055,Teknik Komputer,2020,line_jonathan_banks,+628529370406,2026-01-26T16:41:03.223765,2026-08-02T02:07:36.988545
user-84,20012618,Teknik Elektro,2021,line_brian_young,+628149138213,2025-12-19T00:05:12.482027,2026-06-13T05:02:12.120534
user-85,20028455,Teknik Informatika,2022,line_michael_ferrell,+628053236377,2025-06-02T19:16:40.496789,2025-12-12T19:31:03.485877
user-86,20039212,Sistem Informasi,2023,line_melinda_hutapea,+628123247504,2026-03-23T21:34:27.871426,2026-03-18T21:24:40.503311
user-87,20048890,Teknik Industri,2024,line_salwa_mahendra,+628855186215,2025-01-15T00:11:59.855453,2026-06-22T13:13:38.066901
user-88,20008993,Manajemen,2020,line_john_edwards,+628757482441,2024-12-26T13:41:54.128644,2026-05-02T07:18:27.134270
user-89,20018518,Teknik Elektro,2021,line_michelle_vasquez,+628946835396,2026-08-09T10:41:58.376452,2025-10-25T21:38:16.597338
user-90,20029782,Akuntansi,2022,line_drs._kayun_hutasoit,+628646663486,2026-04-14T21:29:47.240731,2025-11-14T05:38:10.597797
user-91,20033593,Teknik Informatika,2023,line_richard_jones,+628482372540,2025-10-09T05:30:12.252114,2026-03-19T19:39:02.120438
user-92,20041513,Akuntansi,2024,line_kathleen_arroyo,+628103066521,2024-08-17T03:54:47.626447,2026-04-08T01:14:01.416726
user-93,20002613,Teknik Industri,2020,line_gada_palastri,+628745257199,2025-02-21T09:42:28.909230,2025-10-17T16:45:34.503926
user-94,20012692,Manajemen,2021,line_richard_cruz,+628068172503,2025-02-12T07:23:02.319388,2026-03-02T07:03:08.489015
user-95,20023978,Manajemen,2022,line_whitney_ellison,+628573270909,2025-07-16T00:25:25.242791,2026-01-06T06:39:25.009856
user-96,20032682,Akuntansi,2023,line_kenari_yolanda,+628678829594,2026-02-19T01:35:13.471970,2025-12-02T01:31:46.189189
user-97,20049819,Akuntansi,2024,"line_r._arsipatra_hartati,_s.psi",+628537522242,2024-12-26T07:48:42.337270,2025-08-14T19:24:08.418807
user-98,20009660,Akuntansi,2020,line_vivi_iswahyudi,+628941149874,2026-05-08T06:29:08.690003,2026-01-26T21:28:14.312209
user-99,20019975,Manajemen,2021,"line_r.a._maimunah_rajasa,_m.ak",+628767081880,2025-07-21T01:07:39.532924,2026-04-05T19:42:08.640133
user-100,20024281,Teknik Industri,2022,line_anthony_gibson,+628496124700,2026-04-24T19:06:32.293169,2026-07-09T10:50:49.987906
